event,decision,think_decision
My upstairs neighbors make a ton of noise at all hours of the night. It makes it difficult for me to sleep.,Related,Related
I lost my dog a few days ago. It was really sudden,Related,Related
My daughter was born in January so the Christmas before she was born I had to spend alone since I was too close to her due date to travel to my family.,Related,Related
I forgot to make my student loan payment this month.,Related,Related
I saw my dog try to eat a dirty diaper one time,Related,Unrelated
I stole a gift card from my friends house.,Related,Related
I went to Walmart and someone pushed a shopping cart into my car.,Related,Related
"Im not sure if this has happened at a job you have had, but it gets me so annoyed when the boss keeps useless employees around just because they suck up to him",Related,Related
"I was recently added to a team of people to work on a new project at my job. I'm not really sure the goal of the project is a good idea, so I've been reluctant to really jump into the project fully.",Related,Related
"You know, I see all the back to school shopping and I think parents have their priorities mixed up.",Unrelated,Unrelated
I was robbed at a fast food place years ago.,Unrelated,Unrelated
"being alive is so much stress and anxiety, why does it have to be like this? why can't we just all express our individual selves, instead we are forced to work so that we can eat",Related,Related
I felt bad when I skipped work when I was not sick. I just lied about it,Related,Related
I cant believe my friend got engaged before I did.,Related,Related
"last week, my pet dog died. His name is Jack.",Related,Related
I just came to college and have no friends in my dorm and no one to eat with.,Related,Related
I spent 2 hours helping my daughter with her homework. I found out today she never turned it in.,Related,Related
"My parents didn't save enough for retirement, and now that they're retirement age, they're struggling a little. I'm still in college and am not able to really help them. I'm worried about how they'll survive financially, and I feel guilty about not being able to offer much.",Related,Related
I get so mad when I have to repeat myself,Related,Related
I had car trouble over the weekend. It was so irritating,Related,Related
i ordered a limited editon tshirt from my favorite band and they sent the wrong size,Related,Related
My 12 year old lab just passed away. He was my buddy and I am really upset about losing him.,Related,Related
I never get to go out and see people.,Related,Related
I was worried driving home tonight. People were swerving all over,Related,Related
I took out the garbage yesterday and the bag burst on me.,Related,Related
There was this one time when my family was on a roadtrip and we got lost in the middle of no where at night.,Related,Unrelated
I have a huge test tomorrow in Physics and I don't feel prepared for it.,Related,Related
i felt bad when i couldnt get the gift my daughter wanted,Related,Related
"i remember waking up one day , and paint on my car was gone , they put paint stripper or thinner at nigh , i was so mad blood was boiling",Related,Related
My landlord is boring everyone in the building. He is here every day asking questions.,Related,Related
I ordered a pizza today and they forgot to put pepperoni on it.,Related,Related
The anniversary of my sisters death was a few days ago. It has me really feeling down,Related,Related
So a few weeks ago a tire on my car blew while i was driving it on the highway.,Related,Related
I was cleaning out my grandfathers closet finding old moldy clothes.,Related,Related
When I was younger I lived in an apartment by myself. I missed having family around.,Related,Unrelated
"I'm never usually home by myself, but a few weeks ago I was. There were these men running up and down our street just screaming and yelling.",Related,Related
"I was on a road trip last week and had to stop a gas station to use the restroom. It looked like they had never cleaned the bathroom, ever!",Related,Related
"When I was kid, a kid in the neighborhood was trying to exhort money from me. I was terrible afraid.",Related,Unrelated
I forgot about my friends birthday last week. I felt bad about it,Related,Related
I felt so sad about my friend's new puppy that died suddenly. The puppy got so sick that it passed away in a few days.,Related,Related
i was furious yesterday when i saw my dog had gotten out of the gate,Related,Related
"Sometimes I miss having coworkers to talk to, now that I work from home.",Related,Related
I'm disgusted whenever I go over to my sister's house. I feel like she hasn't cleaned it in months.,Related,Related
This has been the worst year ever for tornadoes in our area. This past spring we spent 5 hours in our basement due to all the tornadoes in our area.,Related,Related
I have my performance appraisal tomorrow at work! I am really nervous!,Related,Related
I got in a wreck today. Someone cut me off on a wet road and slammed their brakes causing me to wreck. It makes me furious someone can drive so dangerously.,Related,Related
I am jealous of my friend who got better grades then me even if it was me help him study.,Related,Related
I wrecked havoc in my house in a drunken rage last night,Related,Related
"I just made a huge move across the country , and I don't know if it was the right choice.",Related,Related
Yesterday I was unloading the dishwasher and I guess not paying enough attention and dropped one of my good mixing bowls that busted all over the floor. It took so long to clean up. I was so mad at myself.,Related,Related
Tomorrow's my last day of work. I can't believe it. I wish I had something lined up.,Related,Related
I was in the woods and a snake came out of no where.,Related,Related
I cleaned out my basement and found that some mice had made a home in some boxes,Related,Related
"I'm listening to this audiobook and it's so scary, I could cry",Related,Related
I was so mad at my coworker. He left for an extended work deployment and I inherited all his unfinished work.,Related,Related
Last year my grandmother passed away. It's still hard to cope with,Related,Related
"The other week, a friend of mine told me there was an opening where he worked and to get him a resume. I took to long to get my resume together and they gave the job to someone else.",Related,Related
I was a little unsure going to a movie alone tonight. It did not feel right,Related,Related
